,quantity,average_trading_price,PNL,Profit_fulfillment_bool_trigger
SUNPHARMA,0,0,"[('2019-04-25', 'BUYING CHANCE! for', 461.0, 0, 0), ('2019-08-30', 'BUYING CHANCE! for', 450.4, 0, 0), ('2019-10-15', 'BOUGHT for', 396.8, 396.8, 1), ('2019-11-20', 'BUYING CHANCE! for', 450.0, 396.8, 1), ('2019-12-02', 'SOLD for', 440.0, 396.8, 'PNL: ', 10.887096774193546), ('2019-12-31', 'BUYING CHANCE! for', 432.55, 0, 0), ('2020-03-04', 'BOUGHT for', 405.45, 405.45, 1), ('2020-03-12', 'SOLD for', 354.8, 405.45, 'PNL: ', -12.49), ('2020-05-21', 'BOUGHT for', 466.45, 466.45, 1), ('2020-07-09', 'BUYING CHANCE! for', 481.95, 466.45, 1), ('2020-08-17', 'SOLD for', 528.35, 466.45, 'PNL: ', 13.270446993246873), ('2020-08-28', 'BUYING CHANCE! for', 555.75, 0, 0), ('2020-08-31', 'BOUGHT for', 520.25, 520.25, 1), ('2020-09-18', 'BOUGHT for', 523.35, 521.8, 2), ('2020-09-21', 'BOUGHT for', 503.65, 515.75, 3), ('2020-09-30', 'BUYING CHANCE! for', 500.45, 515.75, 3), ('2020-10-28', 'SOLD for', 463.4, 515.75, 'PNL: ', -10.15), ('2020-11-04', 'BOUGHT for', 504.65, 504.65, 1), ('2020-11-04', 'BUYING CHANCE! for', 504.65, 504.65, 1), ('2020-12-21', 'SOLD for', 552.55, 504.65, 'PNL: ', 9.49172693946299), ('2021-03-04', 'BUYING CHANCE! for', 618.95, 0, 0), ('2021-03-31', 'BUYING CHANCE! for', 597.8, 0, 0), ('2021-06-21', 'BOUGHT for', 671.35, 671.35, 1), ('2021-07-13', 'BUYING CHANCE! for', 683.0, 671.35, 1), ('2021-08-20', 'SOLD for', 761.15, 671.35, 'PNL: ', 13.376033365606608), ('2021-08-26', 'BUYING CHANCE! for', 760.55, 0, 0), ('2021-09-24', 'BUYING CHANCE! for', 770.45, 0, 0), ('2021-11-10', 'BUYING CHANCE! for', 811.1, 0, 0), ('2021-12-13', 'BUYING CHANCE! for', 762.6, 0, 0)]",False
TCS,1,3892.9,"[('2019-05-30', 'BUYING CHANCE! for', 2146.3, 0, 0), ('2019-07-03', 'BUYING CHANCE! for', 2237.65, 0, 0), ('2019-08-22', 'BUYING CHANCE! for', 2216.0, 0, 0), ('2019-10-15', 'BUYING CHANCE! for', 2037.3, 0, 0), ('2019-12-06', 'BOUGHT for', 2123.6, 2123.6, 1), ('2020-02-07', 'BUYING CHANCE! for', 2136.55, 2123.6, 1), ('2020-02-28', 'SOLD for', 2000.15, 2123.6, 'PNL: ', -5.81), ('2020-03-06', 'BUYING CHANCE! for', 2116.45, 0, 0), ('2020-06-26', 'BUYING CHANCE! for', 2118.85, 0, 0), ('2020-07-28', 'BUYING CHANCE! for', 2309.75, 0, 0), ('2020-11-06', 'BUYING CHANCE! for', 2707.45, 0, 0), ('2020-11-23', 'BUYING CHANCE! for', 2724.25, 0, 0), ('2021-02-03', 'BUYING CHANCE! for', 3200.05, 0, 0), ('2021-03-04', 'BUYING CHANCE! for', 3049.7, 0, 0), ('2021-05-07', 'BUYING CHANCE! for', 3132.9, 0, 0), ('2021-10-07', 'BOUGHT for', 3892.9, 3892.9, 1), ('2021-10-07', 'BUYING CHANCE! for', 3892.9, 3892.9, 1), ('2021-11-09', 'BUYING CHANCE! for', 3505.7, 3892.9, 1), ('2021-11-30', 'BUYING CHANCE! for', 3529.15, 3892.9, 1)]",False
TATACONSUM,0,0,"[('2019-05-16', 'BUYING CHANCE! for', 220.8, 0, 0), ('2019-07-29', 'BOUGHT for', 256.0, 256.0, 1), ('2019-09-23', 'BUYING CHANCE! for', 273.65, 256.0, 1), ('2019-11-05', 'SOLD for', 300.5, 256.0, 'PNL: ', 17.3828125), ('2019-12-27', 'BUYING CHANCE! for', 318.45, 0, 0), ('2020-02-05', 'BOUGHT for', 394.6, 394.6, 1), ('2020-02-05', 'BUYING CHANCE! for', 394.6, 394.6, 1), ('2020-03-09', 'SOLD for', 330.1, 394.6, 'PNL: ', -16.35), ('2020-06-19', 'BUYING CHANCE! for', 377.3, 0, 0), ('2020-07-30', 'BUYING CHANCE! for', 424.9, 0, 0), ('2020-09-29', 'BUYING CHANCE! for', 503.25, 0, 0), ('2020-10-27', 'BOUGHT for', 498.75, 498.75, 1), ('2020-12-21', 'SOLD for', 562.75, 498.75, 'PNL: ', 12.832080200501252), ('2021-02-04', 'BUYING CHANCE! for', 588.05, 0, 0), ('2021-03-23', 'BOUGHT for', 634.1, 634.1, 1), ('2021-05-17', 'BOUGHT for', 653.3, 643.7, 2), ('2021-05-17', 'BUYING CHANCE! for', 653.3, 643.7, 2), ('2021-07-23', 'BUYING CHANCE! for', 775.15, 643.7, 2), ('2021-08-03', 'BUYING CHANCE! for', 767.65, 643.7, 2), ('2021-09-17', 'SOLD for', 874.15, 643.7, 'PNL: ', 35.80083890010873), ('2021-10-13', 'BUYING CHANCE! for', 848.15, 0, 0), ('2021-10-28', 'BUYING CHANCE! for', 809.7, 0, 0)]",False
TATAMOTORS,0,0,"[('2019-12-05', 'BOUGHT for', 166.1, 166.1, 1), ('2019-12-12', 'BOUGHT for', 173.35, 169.725, 2), ('2020-01-07', 'SOLD for', 184.7, 169.725, 'PNL: ', 8.823096185005152), ('2020-02-06', 'BUYING CHANCE! for', 178.85, 0, 0), ('2020-10-06', 'BUYING CHANCE! for', 144.75, 0, 0), ('2020-10-26', 'BOUGHT for', 133.7, 133.7, 1), ('2020-12-10', 'SOLD for', 177.6, 133.7, 'PNL: ', 32.83470456245326), ('2020-12-24', 'BOUGHT for', 175.95, 175.95, 1), ('2021-01-28', 'SOLD for', 266.8, 175.95, 'PNL: ', 51.63398692810459), ('2021-02-24', 'BOUGHT for', 321.65, 321.65, 1), ('2021-04-01', 'BUYING CHANCE! for', 307.75, 321.65, 1), ('2021-04-28', 'BOUGHT for', 305.9, 313.775, 2), ('2021-04-28', 'BUYING CHANCE! for', 305.9, 313.775, 2), ('2021-05-07', 'BOUGHT for', 302.75, 310.09999999999997, 3), ('2021-05-07', 'BUYING CHANCE! for', 302.75, 310.09999999999997, 3), ('2021-06-18', 'SOLD for', 337.4, 310.09999999999997, 'PNL: ', 8.803611738148987), ('2021-06-29', 'BUYING CHANCE! for', 341.55, 0, 0), ('2021-08-03', 'BUYING CHANCE! for', 303.7, 0, 0), ('2021-08-30', 'BUYING CHANCE! for', 291.95, 0, 0), ('2021-12-08', 'BUYING CHANCE! for', 493.9, 0, 0), ('2021-12-24', 'BUYING CHANCE! for', 467.6, 0, 0)]",False
TATASTEEL,0,0,"[('2019-04-01', 'BUYING CHANCE! for', 535.15, 0, 0), ('2019-04-30', 'BUYING CHANCE! for', 557.2, 0, 0), ('2019-05-28', 'BUYING CHANCE! for', 507.05, 0, 0), ('2019-06-20', 'BOUGHT for', 501.0, 501.0, 1), ('2019-06-20', 'BUYING CHANCE! for', 501.0, 501.0, 1), ('2019-07-10', 'SOLD for', 454.8, 501.0, 'PNL: ', -9.22), ('2020-02-05', 'BUYING CHANCE! for', 475.05, 0, 0), ('2020-09-11', 'BOUGHT for', 407.5, 407.5, 1), ('2020-09-23', 'SOLD for', 361.3, 407.5, 'PNL: ', -11.34), ('2020-10-06', 'BUYING CHANCE! for', 377.4, 0, 0), ('2020-12-24', 'BOUGHT for', 622.3, 622.3, 1), ('2021-01-18', 'SOLD for', 666.7, 622.3, 'PNL: ', 7.1348224329101875), ('2021-02-04', 'BUYING CHANCE! for', 655.95, 0, 0), ('2021-03-22', 'BOUGHT for', 743.5, 743.5, 1), ('2021-03-23', 'BOUGHT for', 741.15, 742.325, 2), ('2021-05-18', 'SOLD for', 1180.0, 742.325, 'PNL: ', 58.96002424813928), ('2021-06-04', 'BUYING CHANCE! for', 1120.7, 0, 0), ('2021-06-07', 'BUYING CHANCE! for', 1128.7, 0, 0), ('2021-06-23', 'BUYING CHANCE! for', 1100.1, 0, 0), ('2021-10-08', 'BOUGHT for', 1301.15, 1301.15, 1), ('2021-10-08', 'BUYING CHANCE! for', 1301.15, 1301.15, 1), ('2021-11-02', 'BOUGHT for', 1313.65, 1307.4, 2), ('2021-11-08', 'BUYING CHANCE! for', 1343.25, 1307.4, 2), ('2021-11-16', 'SOLD for', 1228.8, 1307.4, 'PNL: ', -6.01), ('2021-12-08', 'BUYING CHANCE! for', 1173.0, 0, 0), ('2021-12-23', 'BUYING CHANCE! for', 1127.65, 0, 0), ('2022-01-03', 'BUYING CHANCE! for', 1142.45, 0, 0)]",False
TECHM,0,0,"[('2019-01-11', 'BOUGHT for', 699.2, 699.2, 1), ('2019-04-02', 'BUYING CHANCE! for', 792.45, 699.2, 1), ('2019-04-03', 'BUYING CHANCE! for', 777.7, 699.2, 1), ('2019-04-08', 'BOUGHT for', 787.15, 743.175, 2), ('2019-04-08', 'BUYING CHANCE! for', 787.15, 743.175, 2), ('2019-05-06', 'SOLD for', 820.15, 743.175, 'PNL: ', 10.357587378477481), ('2019-06-04', 'BUYING CHANCE! for', 748.3, 0, 0), ('2019-07-18', 'BOUGHT for', 687.2, 687.2, 1), ('2019-07-18', 'BUYING CHANCE! for', 687.2, 687.2, 1), ('2019-07-24', 'SOLD for', 660.45, 687.2, 'PNL: ', -3.89), ('2019-08-06', 'BOUGHT for', 670.6, 670.6, 1), ('2019-08-06', 'BUYING CHANCE! for', 670.6, 670.6, 1), ('2019-08-13', 'SOLD for', 639.15, 670.6, 'PNL: ', -4.69), ('2020-01-07', 'BOUGHT for', 777.1, 777.1, 1), ('2020-01-07', 'BUYING CHANCE! for', 777.1, 777.1, 1), ('2020-01-24', 'BUYING CHANCE! for', 787.3, 777.1, 1), ('2020-03-09', 'SOLD for', 704.8, 777.1, 'PNL: ', -9.3), ('2020-09-30', 'BUYING CHANCE! for', 791.75, 0, 0), ('2020-11-04', 'BUYING CHANCE! for', 826.85, 0, 0), ('2021-02-08', 'BUYING CHANCE! for', 982.55, 0, 0), ('2021-03-03', 'BUYING CHANCE! for', 976.0, 0, 0), ('2021-03-31', 'BUYING CHANCE! for', 991.45, 0, 0), ('2021-04-07', 'BUYING CHANCE! for', 1002.4, 0, 0), ('2021-05-07', 'BUYING CHANCE! for', 980.95, 0, 0), ('2021-05-19', 'BUYING CHANCE! for', 977.65, 0, 0), ('2021-10-18', 'BUYING CHANCE! for', 1479.65, 0, 0)]",False
TITAN,0,0,"[('2019-03-06', 'BUYING CHANCE! for', 1055.95, 0, 0), ('2019-04-18', 'BUYING CHANCE! for', 1125.4, 0, 0), ('2019-05-10', 'BOUGHT for', 1132.1, 1132.1, 1), ('2019-05-10', 'BUYING CHANCE! for', 1132.1, 1132.1, 1), ('2019-06-18', 'SOLD for', 1257.5, 1132.1, 'PNL: ', 11.076760003533266), ('2019-08-09', 'BUYING CHANCE! for', 1067.0, 0, 0), ('2019-09-09', 'BUYING CHANCE! for', 1088.35, 0, 0), ('2019-11-27', 'BUYING CHANCE! for', 1167.15, 0, 0), ('2019-12-20', 'BUYING CHANCE! for', 1201.9, 0, 0), ('2020-01-15', 'BUYING CHANCE! for', 1184.85, 0, 0), ('2020-02-04', 'BUYING CHANCE! for', 1275.8, 0, 0), ('2020-09-29', 'BUYING CHANCE! for', 1167.3, 0, 0), ('2021-03-03', 'BUYING CHANCE! for', 1474.6, 0, 0), ('2021-05-17', 'BUYING CHANCE! for', 1468.3, 0, 0), ('2021-07-27', 'BOUGHT for', 1729.05, 1729.05, 1), ('2021-07-27', 'BUYING CHANCE! for', 1729.05, 1729.05, 1), ('2021-10-20', 'SOLD for', 2411.4, 1729.05, 'PNL: ', 39.46386744165872), ('2021-12-02', 'BUYING CHANCE! for', 2386.5, 0, 0), ('2021-12-03', 'BUYING CHANCE! for', 2369.25, 0, 0), ('2021-12-23', 'BUYING CHANCE! for', 2329.9, 0, 0)]",False
UPL,0,0,"[('2019-01-30', 'BOUGHT for', 767.35, 767.35, 1), ('2019-03-26', 'SOLD for', 903.3, 767.35, 'PNL: ', 17.716817619078636), ('2019-06-25', 'BUYING CHANCE! for', 934.95, 0, 0), ('2020-09-11', 'BOUGHT for', 499.0, 499.0, 1), ('2020-09-11', 'BUYING CHANCE! for', 499.0, 499.0, 1), ('2020-09-14', 'BUYING CHANCE! for', 515.9, 499.0, 1), ('2020-10-14', 'BUYING CHANCE! for', 510.9, 499.0, 1), ('2020-10-15', 'BUYING CHANCE! for', 506.55, 499.0, 1), ('2020-10-20', 'SOLD for', 455.95, 499.0, 'PNL: ', -8.63), ('2020-11-23', 'BUYING CHANCE! for', 426.45, 0, 0), ('2020-12-16', 'BOUGHT for', 459.65, 459.65, 1), ('2020-12-24', 'BOUGHT for', 449.4, 454.525, 2), ('2021-02-01', 'SOLD for', 534.1, 454.525, 'PNL: ', 17.50728782795227), ('2021-02-18', 'BUYING CHANCE! for', 541.05, 0, 0), ('2021-03-31', 'BUYING CHANCE! for', 641.85, 0, 0), ('2021-05-03', 'BUYING CHANCE! for', 617.8, 0, 0), ('2021-06-25', 'BUYING CHANCE! for', 805.15, 0, 0), ('2021-07-06', 'BUYING CHANCE! for', 803.3, 0, 0), ('2021-09-01', 'BUYING CHANCE! for', 748.65, 0, 0), ('2021-09-02', 'BUYING CHANCE! for', 753.35, 0, 0), ('2021-10-07', 'BOUGHT for', 727.5, 727.5, 1), ('2021-10-27', 'BOUGHT for', 741.5, 734.5, 2), ('2021-10-28', 'BUYING CHANCE! for', 729.9, 734.5, 2), ('2021-11-30', 'SOLD for', 681.7, 734.5, 'PNL: ', -7.19), ('2021-12-08', 'BUYING CHANCE! for', 728.1, 0, 0)]",False
ULTRACEMCO,0,0,"[('2019-01-23', 'BUYING CHANCE! for', 3850.65, 0, 0), ('2019-04-01', 'BUYING CHANCE! for', 4053.5, 0, 0), ('2019-06-24', 'BUYING CHANCE! for', 4574.8, 0, 0), ('2019-07-11', 'BUYING CHANCE! for', 4539.1, 0, 0), ('2019-08-28', 'BUYING CHANCE! for', 4119.8, 0, 0), ('2019-09-13', 'BUYING CHANCE! for', 4031.15, 0, 0), ('2019-09-23', 'BUYING CHANCE! for', 4391.1, 0, 0), ('2019-11-26', 'BUYING CHANCE! for', 4112.85, 0, 0), ('2019-12-24', 'BUYING CHANCE! for', 4097.35, 0, 0), ('2019-12-26', 'BUYING CHANCE! for', 4062.75, 0, 0), ('2020-02-05', 'BUYING CHANCE! for', 4471.8, 0, 0), ('2020-07-17', 'BUYING CHANCE! for', 3862.85, 0, 0), ('2020-09-16', 'BUYING CHANCE! for', 3974.9, 0, 0), ('2021-02-02', 'BUYING CHANCE! for', 6123.55, 0, 0), ('2021-06-21', 'BUYING CHANCE! for', 6775.5, 0, 0), ('2021-08-30', 'BUYING CHANCE! for', 7703.8, 0, 0), ('2021-10-28', 'BUYING CHANCE! for', 7446.65, 0, 0), ('2021-12-22', 'BUYING CHANCE! for', 7377.25, 0, 0)]",False
WIPRO,0,0,"[('2019-05-30', 'BUYING CHANCE! for', 288.0, 0, 0), ('2019-05-31', 'BUYING CHANCE! for', 286.4, 0, 0), ('2019-07-31', 'BOUGHT for', 265.3, 265.3, 1), ('2019-08-14', 'SOLD for', 251.05, 265.3, 'PNL: ', -5.37), ('2020-02-06', 'BUYING CHANCE! for', 243.65, 0, 0), ('2020-09-03', 'BOUGHT for', 282.85, 282.85, 1), ('2020-09-04', 'BOUGHT for', 276.0, 279.425, 2), ('2020-10-15', 'SOLD for', 341.6, 279.425, 'PNL: ', 22.251051265992665), ('2020-11-05', 'BUYING CHANCE! for', 345.4, 0, 0), ('2020-12-17', 'BOUGHT for', 356.9, 356.9, 1), ('2021-01-18', 'SOLD for', 431.55, 356.9, 'PNL: ', 20.91622303166154), ('2021-02-04', 'BUYING CHANCE! for', 429.9, 0, 0), ('2021-02-05', 'BUYING CHANCE! for', 425.55, 0, 0), ('2021-03-03', 'BUYING CHANCE! for', 435.5, 0, 0), ('2021-03-12', 'BOUGHT for', 425.2, 425.2, 1), ('2021-04-01', 'BUYING CHANCE! for', 416.4, 425.2, 1), ('2021-05-14', 'SOLD for', 498.45, 425.2, 'PNL: ', 17.227187206020698), ('2021-07-15', 'BUYING CHANCE! for', 575.9, 0, 0), ('2021-10-12', 'BUYING CHANCE! for', 659.1, 0, 0), ('2021-11-16', 'BOUGHT for', 661.45, 661.45, 1), ('2021-12-01', 'BUYING CHANCE! for', 634.8, 661.45, 1), ('2022-01-19', 'SOLD for', 621.15, 661.45, 'PNL: ', -6.09)]",False
